#TYPE System.Management.Automation.PSCustomObject
"InputObject","SideIndicator"
"[HKEY_LOCAL_MACHINE\SOFTWARE\Classes\CLSID\{06A03425-C9EB-11d2-8CAA-0080C739E3E0}\InprocServer32]@=hex(2):25,00,53,00,79,00,73,00,74,00,65,00,6d,00,52,00,6f,00,6f,00,74,00,25,\  00,5c,00,73,00,79,00,73,00,74,00,65,00,6d,00,33,00,32,00,5c,00,6d,00,6d,08,\  63,00,73,00,68,00,65,00,78,00,74,00,2e,00,64,00,6c,00,6c,00,00,00""ThreadingModel""=""Apartment""","After File Value"
"[HKEY_LOCAL_MACHINE\SOFTWARE\Classes\CLSID\{efce38d3-8914-4674-a7df-ae1b3d654b8a}\InprocServer32]@=hex(2):25,00,53,00,79,00,73,00,74,00,65,00,6d,00,52,00,6f,00,6f,00,74,00,25,\  00,5c,00,53,00,79,00,73,00,74,00,65,00,6d,00,33,00,32,00,5c,00,4d,00,46,00,\  43,00,61,00,70,00,74,00,75,00,72,00,65,00,45,00,6e,00,67,00,69,00,6e,00,65,\  00,2e,00,64,00,6c,00,6c,00,00,00""ThreadingModel""=""None""","After File Value"
"[HKEY_LOCAL_MACHINE\SOFTWARE\Classes\CLSID\{EFE3FA02-45D7-4920-BE96-53FA7F35B0E6}\ProgID]@=""BDATuner.DVBTLocator2.5""","After File Value"
"[HKEY_LOCAL_MACHINE\SOFTWARE\Classes\CLSID\{EFE6629C-81F7-4281-BD91-C9D604A95AF6}\InProcServer32]@=hex(2):25,00,53,00,79,00,73,00,74,00,65,00,6d,00,52,00,6f,00,6f,00,74,00,25,\  00,5c,00,53,00,79,00,73,00,74,00,65,00,6d,00,33,00,32,00,5c,00,64,00,73,09,\  64,00,6d,00,6f,00,2e,00,64,00,6c,00,6c,00,00,00""ThreadingModel""=""Both""","After File Value"
"[HKEY_LOCAL_MACHINE\SOFTWARE\Classes\Interface\{0049619a-6b0e-5c32-92c7-db9ff7c60ffb}\ProxyStubClsid32]@=""{A5FA505C-DB54-403c-A744-9B3919EF096F.NEW2}""","After File Value"
"[HKEY_LOCAL_MACHINE\SOFTWARE\Classes\CLSID\{06A03425-C9EB-11d2-8CAA-0080C739E3E0}\InprocServer32]@=hex(2):25,00,53,00,79,00,73,00,74,00,65,00,6d,00,52,00,6f,00,6f,00,74,00,25,\  00,5c,00,73,00,79,00,73,00,74,00,65,00,6d,00,33,00,32,00,5c,00,6d,00,6d,00,\  63,00,73,00,68,00,65,00,78,00,74,00,2e,00,64,00,6c,00,6c,00,00,00""ThreadingModel""=""Apartment""","Before File Value"
"[HKEY_LOCAL_MACHINE\SOFTWARE\Classes\CLSID\{efce38d3-8914-4674-a7df-ae1b3d654b8a}\InprocServer32]@=hex(2):25,00,53,00,79,00,73,00,74,00,65,00,6d,00,52,00,6f,00,6f,00,74,00,25,\  00,5c,00,53,00,79,00,73,00,74,00,65,00,6d,00,33,00,32,00,5c,00,4d,00,46,00,\  43,00,61,00,70,00,74,00,75,00,72,00,65,00,45,00,6e,00,67,00,69,00,6e,00,65,\  00,2e,00,64,00,6c,00,6c,00,00,00""ThreadingModel""=""Both""","Before File Value"
"[HKEY_LOCAL_MACHINE\SOFTWARE\Classes\CLSID\{EFE3FA02-45D7-4920-BE96-53FA7F35B0E6}\ProgID]@=""BDATuner.DVBTLocator2.1""","Before File Value"
"[HKEY_LOCAL_MACHINE\SOFTWARE\Classes\CLSID\{EFE6629C-81F7-4281-BD91-C9D604A95AF6}\InProcServer32]@=hex(2):25,00,53,00,79,00,73,00,74,00,65,00,6d,00,52,00,6f,00,6f,00,74,00,25,\  00,5c,00,53,00,79,00,73,00,74,00,65,00,6d,00,33,00,32,00,5c,00,64,00,73,00,\  64,00,6d,00,6f,00,2e,00,64,00,6c,00,6c,00,00,00""ThreadingModel""=""Both""","Before File Value"
"[HKEY_LOCAL_MACHINE\SOFTWARE\Classes\Interface\{0049619a-6b0e-5c32-92c7-db9ff7c60ffb}\ProxyStubClsid32]@=""{A5FA505C-DB54-403c-A744-9B3919EF096F}""","Before File Value"

